App,Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
clear-weather-android,im.r_c.android.clearweather.util.SharedPrefsHelper,0,5,4,0.058,2,1,3,18,21,0,56,3,5,1,2,5,52880,0,0,0,4,0,0,0,1,4,4,69,43,159,60,3,0,65,5,0,11,0,0,2.33,4,0.83,6.33,10,3,2,3,29,38,0,0.0615,0,939,14
clear-weather-android,im.r_c.android.clearweather.util.UIUtils,0,0,4,0.2222,3,0,0,15,15,0,7,0,0,1,0,0,781,0,0,1,4,0,0,0,2,1,1,18,7,28,14,0,0,14,3,0,11,0,0,1.33,2,2.67,1,1,0,0,0,5,3,0,0.2857,0,106,4
clear-weather-android,im.r_c.android.clearweather.util.WeatherInfoFetcher,0,7,6,0.0909,0,0,14,14,28,0,52,4,5,1,3,7,76922,0,0,0,4,0,0,0,1,3,3,66,61,228,86,14,0,60,2,0,11,0,0,2,2,1,18,28,2,3,2,34,36,0,0.1,0,1465,4
BlitzMail,com.provider.JSSEProvider,0,1,3,0.1667,0,1,2,130,132,0,6,0,0,5,1,1,977,0,3,1,3,0,0,0,0,1,1,18,6,32,26,1,1,15,0,0,99,0,0,1,1,0,3.5,6,0,1,0,3,7,0,0.2,0,150,2
BlitzMail,de.grobox.blitzmail.MailStorage,0,1,4,0.069,2,0,0,15,15,0,47,0,0,1,1,1,35429,0,0,1,0,0,0,0,1,1,1,58,29,125,61,0,0,55,3,0,11,0,0,2,3,1.67,12.33,21,0,1,1,26,37,0,0.0545,0,741,6
BlitzMail,de.grobox.blitzmail.NoteActivity,0,6,5,0.0543,5,0,17,663,680,0,60,6,9,8,0,0,70715,0,15,0,0,0,0,0,1,3,3,92,57,179,92,1,16,87,2,0,491,3,0,1.56,3,0.6,4.78,15,1,0,0,43,43,0,0.0575,0,1167,14
BlitzMail,de.grobox.blitzmail.crypto.Crypto,0,1,0,0,0,1,2,15,17,0,25,0,0,1,1,1,13159,0,0,0,0,0,0,0,1,1,1,31,19,96,42,2,0,31,2,0,11,0,0,1.67,2,1,5.67,8,0,1,2,17,17,0,0,0,517,5
BlitzMail,de.grobox.blitzmail.crypto.EncryptedEditTextPreference,0,1,0,0,2,3,1,164,165,0,34,1,1,4,0,0,12415,0,4,0,0,0,0,0,2,2,2,41,10,71,33,1,0,41,0,0,137,3,0,1.5,2,1.5,2.83,6,1,0,1,15,17,0,0,0,358,9
BlitzMail,de.grobox.blitzmail.preferences.PrefFragment,0,6,3,0.0341,6,0,0,148,148,0,64,6,6,3,0,0,80571,0,4,1,0,0,0,0,2,2,2,88,70,190,94,0,0,85,3,0,130,3,0,1.67,3,0.67,5.56,10,2,0,0,32,50,0,0.0602,0,1245,15
BlitzMail,de.grobox.blitzmail.send.MailSender,0,2,3,0.037,1,1,8,25,33,0,73,2,2,2,0,0,93017,0,0,0,0,0,0,0,1,2,2,81,45,196,89,3,5,79,3,0,17,1,0,2.8,8,0.6,9.8,26,2,0,3,42,49,0,0.0253,0,1269,14
BlitzMail,de.grobox.blitzmail.send.SendActivity,1,7,22,0.1005,10,0,23,669,692,0,108,6,6,8,1,1,396727,0,15,0,0,0,0,0,1,2,2,219,109,477,201,7,16,197,9,0,493,2,0,3,9,1.18,10.25,43,1,1,1,77,123,0,0.1173,0,3649,36
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.App,0,5,0,0,1,0,1,244,245,3,6,2,27,4,5,26,445,0,2,0,0,0,0,0,1,6,10,14,6,19,15,1,0,14,1,0,136,1,0,1,1,0.5,2,3,1,4,1,5,4,0,0,0,74,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.AppComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.AppModule,0,5,0,0,0,1,1,19,20,3,9,4,27,1,2,26,1617,0,0,0,0,0,0,0,5,6,10,40,7,36,24,1,0,40,6,0,11,0,0,1,1,0.86,1,1,2,1,6,16,7,0,0,0,165,7
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.BuildingAlternative,0,8,6,0.1935,1,1,2,18,20,0,12,3,7,1,5,30,2178,0,0,0,6,0,0,0,2,3,4,31,6,38,22,2,0,25,4,0,10,1,0,1,1,0.5,1.33,3,1,3,4,12,8,0,0.24,0,169,6
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.DataManager,1,36,15,0.0829,21,1,7,37,44,3,114,20,27,1,16,26,312426,0,0,0,14,0.12,0,0,1,6,10,181,106,392,127,7,0,167,24,0,11,0,0,1.56,3,1.48,3.76,8,4,4,3,84,94,0,0.0838,0,2739,39
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Game,0,25,37,0.2357,4,1,9,33,42,0,35,3,9,1,22,34,48992,0,0,0.8889,37,0.0952,0,0,9,4,5,157,18,226,70,9,0,120,18,0,9,2,0,1.67,6,0.95,2.86,11,1,5,16,34,60,0,0.3083,0,1385,35
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Goods,0,19,3,0.027,0,1,67,31,98,1,15,5,5,,15,42,31373,1,2,0.0149,3,0,0,0,6,1,2,111,,281,162,67,0,108,7,,20,0,0,1.88,3,0.75,2.62,4,1,4,7,16,21,,0.0278,0,2062,15
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Goods.Type,0,3,0,0,0,0,3,23,26,0,0,0,0,,3,43,0,0,2,0,0,1,0,0,0,1,1,3,,2,2,3,0,3,0,,20,0,0,,,0,,,0,1,0,0,0,,0,0,2,0
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Logic,1,14,7,0.0625,0,1,1,21,22,0,85,12,15,1,2,28,249989,0,0,0,0,0,0,0,1,5,6,112,88,420,123,1,0,109,8,0,11,0,0,2.56,4,1.22,9.11,24,2,1,8,49,82,0,0.0275,0,2915,23
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Population,0,7,11,0.1467,0,1,1,21,22,0,44,2,8,1,5,35,44061,0,0,0,11,0.3333,0,0,2,3,4,75,30,178,49,1,0,64,8,0,11,0,0,2.56,7,0.89,4.78,14,1,3,8,21,43,0,0.1719,0,999,23
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.PopulationType,0,14,18,0.1406,0,1,13,29,42,0,12,5,7,,9,36,18101,1,2,0.4615,18,0,0,0,5,2,3,128,,219,108,13,0,110,5,,20,0,0,1,1,1.67,1.83,6,1,4,5,14,11,,0.1636,0,1479,6
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.PopulationType.Civilization,0,7,0,0,0,0,3,23,26,0,0,0,0,,7,37,0,0,2,0,0,1,0,0,0,1,1,3,,2,2,3,0,3,0,,20,0,0,,,0,,,0,3,0,0,0,,0,0,2,0
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.ProductionBuilding,0,13,19,0.105,0,1,66,29,95,1,19,1,5,,13,42,52113,0,2,0.0152,3,0,0,0,3,1,2,181,,388,127,66,0,163,5,,20,0,0,1,1,1,1.33,3,1,2,5,8,8,,0.1104,1,2711,6
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.ProductionChain,0,11,0,0,0,1,3,17,20,0,10,1,6,1,10,32,1680,0,0,0,0,0,0,0,4,2,3,22,0,42,16,3,0,22,4,0,11,0,0,1,1,1.2,1.4,3,1,3,4,5,7,0,0,0,168,5
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.data.Task,0,1,0,0,2,0,0,30,30,0,6,0,0,2,1,27,482,0,0,1,0,0,0,0,2,1,1,16,,19,15,0,0,16,2,1,24,0,0,1,1,0.67,1.33,2,0,1,1,4,4,1,0,0,74,3
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.ChainsDetailResultEvent,0,6,0,0,0,1,2,15,17,0,5,3,9,2,3,27,363,0,0,0,0,0,0,0,2,4,5,14,0,20,11,2,0,14,2,0,11,0,0,1,1,0.67,1.33,2,2,2,2,3,4,0,0,0,69,3
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.ChainsResultEvent,0,5,0,0,0,1,2,15,17,0,7,3,12,2,2,27,728,0,0,0,0,0,0,0,2,5,6,14,1,25,13,2,0,14,2,0,11,0,0,1,1,1,1.33,2,2,2,2,4,4,0,0,0,92,3
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.DataResponseEvent,0,6,0,0,0,0,0,12,12,0,0,0,0,1,6,32,0,0,0,1,0,1,0,0,0,1,1,2,0,2,2,0,0,2,0,5,11,0,0,,,0,,,0,2,0,0,0,5,0,0,2,0
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.GameListResultEvent,0,4,3,0.25,0,1,1,14,15,0,5,2,11,2,2,27,199,0,0,0,3,0,0,0,1,5,6,12,0,12,9,1,0,9,1,0,11,0,0,1,1,0.5,1,1,2,2,1,2,2,0,0.3333,0,38,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.GameNameChangedEvent,0,4,0,0,0,1,1,14,15,0,4,1,10,1,3,27,148,0,0,0,0,0,0,0,1,5,6,9,0,11,8,1,0,9,1,0,11,0,0,1,1,0.5,1,1,1,2,1,2,2,0,0,0,33,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.MaterialResultsEvent,0,4,0,0,0,1,1,14,15,0,5,2,11,2,2,27,199,0,0,0,0,0,0,0,1,5,6,9,0,12,9,1,0,9,1,0,11,0,0,1,1,0.5,1,1,2,2,1,2,2,0,0,0,38,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.event.PopulationResultEvent,0,4,0,0,0,1,1,14,15,0,5,2,11,2,2,27,199,0,0,0,0,0,0,0,1,5,6,9,0,12,9,1,0,9,1,0,11,0,0,1,1,0.5,1,1,2,2,1,2,2,0,0,0,38,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.helpers.CompatConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.helpers.DisplayHelper,0,1,0,0,0,0,0,13,13,0,4,0,0,1,1,4,193,0,0,1,0,0,0,0,1,1,1,5,3,14,11,0,0,5,1,0,11,0,0,1,1,2,1,1,0,1,1,4,1,0,0,0,48,1
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.helpers.JavaCompat,0,5,7,0.5833,1,0,0,13,13,0,3,1,1,1,4,31,95,0,0,1,6,1,0,0,1,2,2,12,1,10,9,0,0,5,1,0,11,0,0,2,2,2,2,2,1,2,0,2,2,0,1.4,0,31,2
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.helpers.Pair,0,1,0,0,0,1,2,16,18,0,8,0,0,1,1,29,716,0,0,0,0,0,0,0,3,1,1,17,0,25,12,2,0,17,3,0,11,0,2,1,1,1,1.25,2,0,1,3,4,5,0,0,0,89,4
ANNO1404-Warenrechner-App,de.ktran.anno1404warenrechner.views.AnimationFinishListener,0,0,0,0,4,0,0,20,20,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,1,1,10,,13,5,0,0,10,3,2,11,0,0,1,1,1,0,0,0,0,0,4,0,2,0,0,30,3
