,number_of_gui_components,number_of_gui_statements,number_of_input_events_listeners,number_of_lifecycle_events,number_of_non_lifecycle_events,number_of_direct_manipulation_of_models,number_of_indirect_manipulation_of_models,handle_input_events_in_xml_file,has_data_tag_in_layout_file,does_use_data_binding,is_view_model,is_presenter_form,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC,class_complexity,coupling_between_object_classes,lack_of_cohesion_in_methods,npath_complexity,class_name,app_key,Role
10,9,97,2,1,0,0,False,0,2,15,1,0,0.0,10.0,0.0,0.0,1.0,0.0,24.0,660.0,684.0,25.0,78.0,9.0,92.0,10.0,1.0,26.0,98976.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,28.0,72.0,71.0,194.0,92.0,6.0,18.0,72.0,0.0,0.0,494.0,1.0,0.0,5.0,6.0,1.0,21.5,27.0,2.0,1.0,0.0,17,43.0,0.0,None,0.0,1265.0,10.0,12,1,1,4096.0,com.ihunda.android.binauralbeat.AddPresetDetailActivity,Binaural-Beats,Controller;View
11,0,4,0,0,0,0,False,0,0,0,1,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,1,0,16.0,com.ihunda.android.binauralbeat.BBeat$com.jjoe64.graphview.LineGraphViewRunProgram,Binaural-Beats,Not annotated
12,0,667,43,9,11,0,False,0,4,22,1,0,25.0,46.0,142.0,0.1086,57.0,0.0,96.0,736.0,832.0,25.0,619.0,36.0,92.0,10.0,13.0,26.0,21408214.0,6.0,15.0,0.0128,29.0,0.0789,0.0,0.0,3.0,3.0,28.0,1307.0,150.0,3527.0,892.0,78.0,18.0,1173.0,64.0,0.0,473.0,12.0,0.0,1.79,3.0,0.75,5.26,6.0,3.0,2.0,19.0,318,637.0,0.0,None,0.0,34567.0,217.0,243,17,2886,1.4134776518227075e+73,com.ihunda.android.binauralbeat.BBeat,Binaural-Beats,Controller;View
13,0,15,0,1,0,0,False,0,0,0,1,0,0.0,4.0,12.0,0.0833,9.0,1.0,12.0,629.0,641.0,0.0,83.0,3.0,3.0,3.0,1.0,27.0,145951.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,144.0,27.0,274.0,83.0,12.0,0.0,135.0,9.0,0.0,594.0,0.0,0.0,2.27,3.0,1.3,6.55,11.0,1.0,1.0,0.0,23,72.0,0.0,None,0.0,1746.0,25.0,26,3,3,67108864.0,com.ihunda.android.binauralbeat.CanvasVizualizationView,Binaural-Beats,View
14,4,31,2,1,0,0,False,0,0,0,1,0,0.0,5.0,2.0,0.0435,1.0,0.0,1.0,539.0,540.0,0.0,27.0,5.0,5.0,5.0,0.0,0.0,13595.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,46.0,23.0,83.0,64.0,1.0,0.0,44.0,1.0,0.0,393.0,1.0,0.0,1.33,2.0,1.0,9.33,11.0,0.0,0.0,1.0,24,28.0,0.0,None,0.0,497.0,4.0,7,1,3,128.0,com.ihunda.android.binauralbeat.Comments,Binaural-Beats,Controller;View
15,0,10,0,1,0,0,False,0,0,0,1,0,0.0,5.0,10.0,0.1351,8.0,1.0,10.0,661.0,671.0,0.0,45.0,3.0,3.0,4.0,2.0,27.0,46094.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,74.0,13.0,164.0,71.0,10.0,0.0,67.0,8.0,0.0,621.0,0.0,0.0,1.56,4.0,1.22,3.44,12.0,1.0,1.0,0.0,20,31.0,0.0,None,1.0,1008.0,14.0,16,3,10,65536.0,com.ihunda.android.binauralbeat.GLVizualizationView,Binaural-Beats,View
16,5,24,0,1,1,0,False,0,0,0,1,0,0.0,8.0,1.0,0.0244,1.0,0.0,23.0,661.0,684.0,0.0,30.0,7.0,12.0,10.0,1.0,27.0,14221.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,41.0,20.0,80.0,56.0,5.0,18.0,40.0,0.0,0.0,493.0,2.0,0.0,2.5,3.0,1.0,11.0,16.0,2.0,1.0,1.0,21,22.0,0.0,None,1.0,464.0,5.0,10,1,3,1024.0,com.ihunda.android.binauralbeat.HistoryActivity,Binaural-Beats,Controller;View
17,0,31,0,1,0,0,False,0,0,0,1,0,0.0,5.0,7.0,0.0864,3.0,1.0,51.0,186.0,237.0,0.0,33.0,4.0,4.0,2.0,1.0,27.0,29890.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,81.0,28.0,144.0,74.0,7.0,44.0,74.0,3.0,0.0,169.0,2.0,0.0,1.4,2.0,2.0,3.0,5.0,0.0,1.0,2.0,20,30.0,0.0,None,0.0,894.0,14.0,13,1,13,8192.0,com.ihunda.android.binauralbeat.NavigationDrawerFragment,Binaural-Beats,Controller;View
18,0,91,6,1,0,0,False,0,0,25,1,0,0.0,13.0,1.0,0.0102,4.0,0.0,24.0,663.0,687.0,25.0,68.0,11.0,92.0,10.0,3.0,26.0,118814.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,28.0,98.0,78.0,257.0,110.0,6.0,18.0,97.0,3.0,0.0,494.0,1.0,0.0,2.0,7.0,0.75,8.43,32.0,2.0,1.0,0.0,45,59.0,0.0,None,0.0,1742.0,14.0,17,2,13,131072.0,com.ihunda.android.binauralbeat.PresetListActivity,Binaural-Beats,Controller;View
19,0,40,0,1,0,0,False,0,0,0,1,0,0.0,5.0,3.0,0.0545,2.0,0.0,34.0,694.0,728.0,0.0,19.0,5.0,5.0,11.0,0.0,0.0,12328.0,0.0,16.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,55.0,38.0,111.0,56.0,0.0,34.0,52.0,1.0,0.0,512.0,1.0,0.0,1.5,2.0,0.5,14.0,27.0,0.0,0.0,0.0,19,28.0,0.0,None,0.0,644.0,3.0,4,0,3,16.0,com.ihunda.android.binauralbeat.TutorialActivity,Binaural-Beats,View
